# Node, all count, hit count, without preloading, with preloading
167, 361, 16, 351163, 332139
167, 362, 16, 353849, 334825
167, 363, 17, 354781, 334885
167, 364, 18, 355007, 334945
167, 365, 19, 355291, 335005
167, 366, 20, 355365, 335065
167, 367, 20, 356463, 336163
168, 368, 20, 357235, 336935
168, 369, 20, 357256, 336956
168, 370, 20, 357280, 336980
168, 371, 20, 358828, 338528
168, 372, 21, 360054, 338588
168, 373, 21, 361243, 339777
168, 374, 21, 361334, 339868
168, 375, 21, 361445, 339979
168, 376, 21, 363199, 341733
168, 377, 21, 363281, 341815
169, 378, 21, 364481, 343015
170, 379, 21, 365624, 344158
170, 380, 21, 365634, 344168
171, 381, 21, 366725, 345259
171, 382, 21, 368403, 346937
172, 383, 21, 369854, 348388
172, 384, 21, 371007, 349541
173, 385, 21, 372167, 350701
174, 386, 21, 373858, 352392
175, 387, 21, 374752, 353286
176, 388, 21, 375720, 354254
176, 389, 21, 375754, 354288
176, 390, 22, 377006, 354348
177, 391, 22, 378383, 355725
177, 392, 22, 379655, 356997
177, 393, 22, 380698, 358040
178, 394, 22, 383893, 361235
178, 395, 22, 383959, 361301
178, 396, 22, 384158, 361500
178, 397, 23, 384332, 361560
179, 398, 23, 384507, 361735
180, 399, 23, 384671, 361899
181, 400, 23, 384845, 362073
182, 401, 23, 385012, 362240
183, 402, 23, 385192, 362420
184, 403, 23, 385349, 362577
185, 404, 23, 385532, 362760
185, 405, 23, 385939, 363167
185, 406, 23, 386369, 363597
185, 407, 23, 386780, 364008
185, 408, 23, 387189, 364417
186, 409, 23, 387548, 364776
186, 410, 23, 387796, 365024
187, 411, 23, 389361, 366589
187, 412, 23, 389414, 366642
188, 413, 23, 389467, 366695
189, 414, 23, 389468, 366696
190, 415, 23, 389510, 366738
191, 416, 23, 389552, 366780
192, 417, 23, 390103, 367331
192, 418, 23, 390221, 367449
192, 419, 23, 390305, 367533
193, 420, 23, 391301, 368529
193, 421, 23, 391339, 368567
193, 422, 24, 392956, 368627
