# Node, all count, hit count, without preloading, with preloading
199, 318, 8, 189707, 186996
200, 319, 8, 193385, 190674
201, 320, 8, 193397, 190686
202, 321, 8, 193517, 190806
202, 322, 8, 193625, 190914
203, 323, 8, 197377, 194666
204, 324, 8, 197504, 194793
204, 325, 8, 197534, 194823
204, 326, 9, 197560, 194883
204, 327, 10, 197584, 194943
204, 328, 11, 197614, 195003
205, 329, 11, 198071, 195460
206, 330, 11, 198455, 195844
207, 331, 11, 199184, 196573
208, 332, 11, 199763, 197152
209, 333, 11, 200110, 197499
210, 334, 11, 200391, 197780
210, 335, 11, 200465, 197854
211, 336, 11, 200734, 198123
212, 337, 11, 200946, 198335
212, 338, 11, 200978, 198367
212, 339, 12, 201003, 198427
213, 340, 12, 201203, 198627
214, 341, 12, 201423, 198847
214, 342, 12, 201476, 198900
215, 343, 12, 202671, 200095
216, 344, 12, 203485, 200909
216, 345, 12, 204319, 201743
216, 346, 12, 204370, 201794
217, 347, 12, 204948, 202372
218, 348, 12, 205288, 202712
219, 349, 12, 205435, 202859
219, 350, 12, 205456, 202880
220, 351, 12, 205996, 203420
221, 352, 12, 206397, 203821
222, 353, 12, 206929, 204353
223, 354, 12, 207325, 204749
223, 355, 12, 207388, 204812
223, 356, 13, 207416, 204872
223, 357, 13, 207714, 205170
224, 358, 13, 207916, 205372
224, 359, 13, 208025, 205481
225, 360, 13, 208340, 205796
225, 361, 13, 208388, 205844
226, 362, 13, 209027, 206483
227, 363, 13, 209391, 206847
228, 364, 13, 209454, 206910
229, 365, 13, 214202, 211658
230, 366, 13, 220603, 218059
231, 367, 13, 227004, 224460
232, 368, 13, 229744, 227200
233, 369, 13, 229745, 227201
233, 370, 13, 229856, 227312
234, 371, 13, 230414, 227870
235, 372, 13, 234709, 232165
235, 373, 13, 234725, 232181
235, 374, 14, 234742, 232241
235, 375, 15, 238321, 232301
236, 376, 15, 241992, 235972
236, 377, 15, 242012, 235992
237, 378, 15, 242123, 236103
238, 379, 15, 245924, 239904
239, 380, 15, 245925, 239905
240, 381, 15, 246040, 240020
241, 382, 15, 246922, 240902
241, 383, 15, 247086, 241066
242, 384, 15, 247914, 241894
243, 385, 15, 248458, 242438
243, 386, 15, 248782, 242762
244, 387, 15, 249326, 243306
244, 388, 15, 249706, 243686
244, 389, 15, 250601, 244581
245, 390, 15, 250983, 244963
245, 391, 15, 251777, 245757
246, 392, 15, 256796, 250776
246, 393, 15, 257709, 251689
247, 394, 15, 261911, 255891
247, 395, 15, 262687, 256667
248, 396, 15, 263490, 257470
249, 397, 15, 263709, 257689
249, 398, 15, 263764, 257744
250, 399, 15, 264423, 258403
251, 400, 15, 264852, 258832
252, 401, 15, 265376, 259356
253, 402, 15, 265887, 259867
254, 403, 15, 266318, 260298
255, 404, 15, 266977, 260957
256, 405, 15, 267550, 261530
257, 406, 15, 268168, 262148
258, 407, 15, 269171, 263151
259, 408, 15, 269935, 263915
260, 409, 15, 270757, 264737
260, 410, 15, 270813, 264793
261, 411, 15, 274470, 268450
262, 412, 15, 278019, 271999
263, 413, 15, 281614, 275594
264, 414, 15, 285193, 279173
264, 415, 15, 288718, 282698
265, 416, 15, 292344, 286324
266, 417, 15, 292453, 286433
266, 418, 15, 292560, 286540
267, 419, 15, 292953, 286933
267, 420, 15, 293008, 286988
267, 421, 15, 294107, 288087
268, 422, 15, 295206, 289186
268, 423, 15, 295207, 289187
268, 424, 15, 296228, 290208
269, 425, 15, 296921, 290901
270, 426, 15, 297572, 291552
271, 427, 15, 298223, 292203
272, 428, 15, 298225, 292205
272, 429, 15, 298756, 292736
273, 430, 15, 299814, 293794
273, 431, 15, 299875, 293855
274, 432, 15, 299983, 293963
275, 433, 15, 300971, 294951
276, 434, 15, 303063, 297043
276, 435, 15, 303677, 297657
277, 436, 15, 304395, 298375
277, 437, 15, 304429, 298409
278, 438, 15, 305054, 299034
279, 439, 15, 305557, 299537
280, 440, 15, 305929, 299909
281, 441, 15, 306301, 300281
282, 442, 15, 308925, 302905
282, 443, 15, 309731, 303711
282, 444, 15, 309824, 303804
282, 445, 16, 309852, 303864
283, 446, 16, 310373, 304385
284, 447, 16, 311533, 305545
285, 448, 16, 311970, 305982
286, 449, 16, 312480, 306492
287, 450, 16, 312963, 306975
288, 451, 16, 312993, 307005
289, 452, 16, 313847, 307859
290, 453, 16, 315976, 309988
291, 454, 16, 316018, 310030
292, 455, 16, 316051, 310063
293, 456, 16, 316111, 310123
294, 457, 16, 316161, 310173
295, 458, 16, 316212, 310224
296, 459, 16, 316260, 310272
297, 460, 16, 316309, 310321
297, 461, 16, 316360, 310372
297, 462, 17, 316409, 310432
298, 463, 17, 316469, 310492
299, 464, 17, 316518, 310541
300, 465, 17, 316567, 310590
300, 466, 17, 316613, 310636
300, 467, 18, 316666, 310696
300, 468, 18, 316714, 310744
300, 469, 18, 316762, 310792
300, 470, 18, 316823, 310853
300, 471, 18, 316874, 310904
300, 472, 18, 316924, 310954
300, 473, 18, 316968, 310998
300, 474, 18, 317025, 311055
300, 475, 18, 317078, 311108
300, 476, 18, 317133, 311163
300, 477, 18, 317177, 311207
300, 478, 18, 317240, 311270
300, 479, 18, 317286, 311316
300, 480, 18, 317340, 311370
301, 481, 18, 317794, 311824
301, 482, 18, 317838, 311868
301, 483, 18, 317886, 311916
302, 484, 18, 318302, 312332
302, 485, 18, 318356, 312386
302, 486, 18, 318410, 312440
302, 487, 18, 318462, 312492
303, 488, 18, 318975, 313005
303, 489, 18, 319026, 313056
303, 490, 18, 319075, 313105
303, 491, 18, 319122, 313152
303, 492, 18, 319171, 313201
303, 493, 18, 319218, 313248
303, 494, 18, 319265, 313295
303, 495, 18, 319368, 313398
303, 496, 18, 319416, 313446
303, 497, 18, 319466, 313496
303, 498, 18, 319516, 313546
303, 499, 18, 319927, 313957
303, 500, 18, 319985, 314015
304, 501, 18, 320114, 314144
304, 502, 18, 320187, 314217
305, 503, 18, 320479, 314509
306, 504, 18, 320748, 314778
307, 505, 18, 320967, 314997
308, 506, 18, 321194, 315224
308, 507, 18, 321411, 315441
309, 508, 18, 321638, 315668
309, 509, 18, 321887, 315917
310, 510, 18, 322120, 316150
311, 511, 18, 322725, 316755
311, 512, 18, 322782, 316812
